5.7084,8.6752,3.7533,9.0307,6.9144,8.2382,4.9672,1.6357,1.4863,9.5751
3.3542,5.5936,4.8037,2.1819,2.1376,1.261,8.0865,9.0605,6.5812,0.2569
9.5714,4.6463,3.4242,8.7322,2.981,3.0012,6.3287,0.7734,6.3398,9.7111
4.3992,4.303,7.7715,0.8269,7.6834,0.0212,6.884,3.3853,2.2931,2.976
6.0154,7.7399,3.8394,4.654,5.0115,9.5111,6.3957,5.8062,1.8223,5.2507
7.2026,6.5392,7.1156,0.2193,9.0946,7.663,7.2932,4.7524,1.6635,8.6234
6.7878,6.5773,4.8093,8.0828,0.5785,7.513,8.5985,8.0532,1.4961,8.964
2.1276,1.6102,7.2918,1.7921,4.3675,1.3886,6.2696,5.3078,2.0275,1.8901
0.8162,4.3238,9.3756,1.6539,5.7225,3.4932,1.8059,2.2731,9.5496,6.6072
2.7448,5.0509,5.1725,1.816,5.6507,1.5134,5.7331,7.0948,0.1591,9.4123
