-10.65627,0.38483,0.92983,0.40073,0.60673,-0.77842,0.55014,1.0336,2.9745,2.0237
-0.12502,11.3257,0.90194,0.73906,1.6345,1.0996,1.8551,0.41979,-0.62259,0.77779
-0.53047,1.2963,12.13829,0.90004,-0.62349,-0.85556,-0.2773,0.60107,1.9203,-0.5489
0.10559,1.0992,-0.37841,-10.5312,-1.3501,0.0075576,1.0666,-0.67402,0.96115,-0.12601
1.1284,0.65322,0.14306,0.50462,-9.1622,-0.93759,-2.0992,-1.0952,-0.5578,0.29958
0.74248,-0.50507,1.605,-0.86421,-0.94428,-13.68156,0.63848,-0.26762,-0.10656,0.29617
1.1436,-0.47599,1.3491,-0.37655,-0.67121,-0.26014,15.37147,0.18655,-0.21516,1.2008
-0.91471,-2.0516,-0.44844,0.78801,0.57668,-0.2288,-0.37418,12.95094,0.47349,1.0902
0.1798,-0.4483,0.16841,0.29821,-2.0858,-0.52481,0.69535,-0.79052,10.3656,-0.3587
-0.98335,-1.5512,-1.1205,-0.16374,0.23596,1.1283,0.87763,-0.48948,-1.6378,-11.12993
